Nome: COMODORO
Codigo Estacao: A913
Latitude: -13.70805555
Longitude: -59.7625
Altitude: 576.87
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;29;168;23,8;
2020-02-29;27;295,6;23,7;
2020-03-31;20;163;24;
2020-04-30;13;47,6;23,3;
2020-05-31;17;61,2;21,1;
2020-06-30;14;18,8;21,8;
2020-07-31;9;null;21,4;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;2;null;null;
2020-11-30;13;61;24,7;
2020-12-31;16;null;23,6;
2021-01-31;12;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;4;null;21,9;
2022-06-30;4;null;20,9;
2022-07-31;3;,6;21,2;
2022-08-31;2;6,6;22,2;
2022-09-30;7;101,6;23,5;
2022-10-31;18;257,6;23;
2022-11-30;11;56;23;
2022-12-31;20;289,2;22,7;
2023-01-31;23;303,4;22,7;
2023-02-28;21;null;22,5;
2023-03-31;18;12,2;23;
2023-04-30;null;null;22,8;
2023-05-31;1;null;22,4;
2023-06-30;4;null;20,8;
2023-07-31;0;0;21;
2023-08-31;2;13,2;23,2;
2023-09-30;13;116,8;24,6;
2023-10-31;15;114,6;24,9;
2023-11-30;10;89;25,1;
2023-12-31;24;157,2;24,4;
2024-01-31;24;247,8;24;
2024-02-29;22;359;23,6;
2024-03-31;27;231,2;23,8;
2024-04-30;21;246,8;24;
2024-05-31;13;11,4;21,6;
2024-06-30;3;,6;21,4;
2024-07-31;0;0;19,8;
2024-08-31;0;0;21,6;
2024-09-30;1;null;24;
2024-10-31;null;null;null;

