Nome: JUARA
Codigo Estacao: A914
Latitude: -11.28027777
Longitude: -57.52666666
Altitude: 263.43
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;22;187,8;26;
2020-02-29;18;null;26;
2020-03-31;24;161,2;26;
2020-04-30;14;166;26;
2020-05-31;2;67,8;24,9;
2020-06-30;2;5;25,7;
2020-07-31;0;0;25,7;
2020-08-31;null;null;26,7;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;1;null;null;
2022-11-30;12;140;26,1;
2022-12-31;23;379,8;25,3;
2023-01-31;28;324;24,9;
2023-02-28;24;240,8;25,6;
2023-03-31;25;358,4;25,3;
2023-04-30;20;303,4;25,5;
2023-05-31;7;32,2;26,3;
2023-06-30;4;8,8;24,8;
2023-07-31;null;null;25,8;
2023-08-31;2;null;null;
2023-09-30;3;null;28,7;
2023-10-31;9;null;28,2;
2023-11-30;7;null;27,9;
2023-12-31;3;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;null;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

