Nome: COTRIGUACU
Codigo Estacao: A919
Latitude: -9.90638888
Longitude: -58.57222221
Altitude: 265
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;22;409,8;25,5;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;16;167,2;25,4;
2022-12-31;19;200,6;25,2;
2023-01-31;26;458;24,4;
2023-02-28;25;409,6;25;
2023-03-31;29;365,6;24,7;
2023-04-30;21;299,8;25,4;
2023-05-31;8;74,4;25,9;
2023-06-30;5;22,2;24,6;
2023-07-31;0;0;25,2;
2023-08-31;5;93,8;27;
2023-09-30;10;100,8;27,2;
2023-10-31;15;213,4;27,5;
2023-11-30;10;90;27,2;
2023-12-31;18;173,2;26,5;
2024-01-31;23;270,8;25,9;
2024-02-29;26;305,2;25,7;
2024-03-31;21;345,6;26,2;
2024-04-30;20;323;26,2;
2024-05-31;0;0;25,9;
2024-06-30;0;0;25,6;
2024-07-31;0;0;25,3;
2024-08-31;3;46,8;25,9;
2024-09-30;3;10;27,8;
2024-10-31;3;null;null;

