Nome: VILA BELA DA SANTISSIMA TRINDADE
Codigo Estacao: A922
Latitude: -15.06277777
Longitude: -59.87305554
Altitude: 213
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;16;210,8;26,6;
2020-02-29;12;184,6;25,9;
2020-03-31;null;null;26,9;
2020-04-30;null;null;25,7;
2020-05-31;null;null;22,9;
2020-06-30;null;0;24,1;
2020-07-31;0;0;24;
2020-08-31;3;11;25,4;
2020-09-30;3;3;28,1;
2020-10-31;5;45,8;28,7;
2020-11-30;10;128;27,9;
2020-12-31;19;205,8;26,4;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;3;46,6;22,8;
2022-06-30;7;89;22,2;
2022-07-31;0;0;24,3;
2022-08-31;4;74,6;23,9;
2022-09-30;1;22,8;26,3;
2022-10-31;12;172,4;26,2;
2022-11-30;4;74,6;26;
2022-12-31;25;186;25,7;
2023-01-31;22;304;25,6;
2023-02-28;15;227,8;25,6;
2023-03-31;23;264,4;25,9;
2023-04-30;10;null;25,6;
2023-05-31;3;null;null;
2023-06-30;3;8,2;22,5;
2023-07-31;0;0;24,4;
2023-08-31;3;32,4;26,5;
2023-09-30;8;23;28,6;
2023-10-31;12;82,6;29,2;
2023-11-30;7;115,6;29,5;
2023-12-31;18;212,6;27,9;
2024-01-31;13;187,2;27,4;
2024-02-29;16;167,2;26,8;
2024-03-31;17;225;27,1;
2024-04-30;19;105;27;
2024-05-31;2;21,2;23,9;
2024-06-30;0;0;24,9;
2024-07-31;null;0;22,3;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

