Nome: NOVA MARINGA
Codigo Estacao: A928
Latitude: -13.0386111
Longitude: -57.09222221
Altitude: 334.36
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;22;221;28,1;
2020-02-29;25;531,4;31;
2020-03-31;14;184,2;33,2;
2020-04-30;10;56;33,6;
2020-05-31;7;30,8;31,8;
2020-06-30;0;0;24,6;
2020-07-31;0;0;24,1;
2020-08-31;0;0;25,2;
2020-09-30;null;null;null;
2020-10-31;12;92,4;29,1;
2020-11-30;7;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;26,3;
2021-11-30;0;0;25,3;
2021-12-31;0;0;25,3;
2022-01-31;0;0;25,3;
2022-02-28;null;null;24,8;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;0;0;24,3;
2022-08-31;2;27,4;24,4;
2022-09-30;7;56;27;
2022-10-31;11;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;1;,8;23,2;
2023-07-31;0;0;24;
2023-08-31;4;5,2;26,7;
2023-09-30;8;52,6;28,2;
2023-10-31;13;81,8;28,3;
2023-11-30;11;82,2;28,1;
2023-12-31;14;159,4;27,2;
2024-01-31;21;366,2;26,3;
2024-02-29;20;372,4;26,3;
2024-03-31;18;415,4;26,9;
2024-04-30;13;16,8;26,6;
2024-05-31;0;0;24,7;
2024-06-30;0;0;24,4;
2024-07-31;0;0;23,5;
2024-08-31;0;0;25,4;
2024-09-30;1;,2;28,1;
2024-10-31;3;null;null;

