Nome: PORTO ESTRELA
Codigo Estacao: A935
Latitude: -15.32472221
Longitude: -57.22583332
Altitude: 147.75
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;15;179,2;27,9;
2020-02-29;25;333,6;26,3;
2020-03-31;15;188;27,6;
2020-04-30;13;71,2;26,4;
2020-05-31;15;120,6;23;
2020-06-30;8;1,6;23,8;
2020-07-31;1;,2;23,3;
2020-08-31;0;0;25,2;
2020-09-30;0;0;28,4;
2020-10-31;5;35,4;29,3;
2020-11-30;18;48,6;28,5;
2020-12-31;null;null;27,5;
2021-01-31;null;null;26,3;
2021-02-28;null;null;26,9;
2021-03-31;null;null;26;
2021-04-30;null;null;25,6;
2021-05-31;null;null;24,1;
2021-06-30;null;null;23,1;
2021-07-31;null;null;21,6;
2021-08-31;null;null;25,6;
2021-09-30;null;null;29,5;
2021-10-31;null;null;28,7;
2021-11-30;null;null;26,4;
2021-12-31;null;null;27,2;
2022-01-31;null;null;27,4;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;22,9;
2022-06-30;12;101,8;22,6;
2022-07-31;7;3,6;24,1;
2022-08-31;0;0;24;
2022-09-30;null;null;27,4;
2022-10-31;null;null;27,1;
2022-11-30;null;null;25,8;
2022-12-31;null;null;26,7;
2023-01-31;11;null;26;
2023-02-28;7;17,4;26,4;
2023-03-31;3;11,6;26,5;
2023-04-30;null;null;26,3;
2023-05-31;null;null;25,1;
2023-06-30;null;null;22,4;
2023-07-31;null;null;23,9;
2023-08-31;null;null;27,3;
2023-09-30;null;null;29,4;
2023-10-31;null;null;30,2;
2023-11-30;null;null;29,9;
2023-12-31;null;null;29;
2024-01-31;null;null;27,9;
2024-02-29;null;null;28,1;
2024-03-31;null;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

