Nome: SALTO DO CEU
Codigo Estacao: A936
Latitude: -15.12472221
Longitude: -58.12722221
Altitude: 300.83
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;3;1;26,7;
2020-02-29;null;null;25,5;
2020-03-31;11;103;26,3;
2020-04-30;7;62,2;24,9;
2020-05-31;5;157,6;21,8;
2020-06-30;0;0;22,9;
2020-07-31;null;0;22,6;
2020-08-31;1;null;24;
2020-09-30;1;null;26,6;
2020-10-31;null;null;27,7;
2020-11-30;5;null;27,1;
2020-12-31;3;null;26,2;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;4;17;21,8;
2022-06-30;7;50,2;21,5;
2022-07-31;0;0;23,4;
2022-08-31;4;57,4;22,9;
2022-09-30;10;130,2;25,5;
2022-10-31;18;122,6;25,7;
2022-11-30;11;189,2;24,6;
2022-12-31;18;40,2;25,8;
2023-01-31;null;null;25,1;
2023-02-28;null;null;25;
2023-03-31;null;null;25,4;
2023-04-30;null;null;24,9;
2023-05-31;null;null;23,8;
2023-06-30;null;null;21,3;
2023-07-31;null;null;23;
2023-08-31;null;null;26,2;
2023-09-30;null;null;27,9;
2023-10-31;null;null;28,2;
2023-11-30;null;null;28,7;
2023-12-31;null;null;27,2;
2024-01-31;null;null;26,9;
2024-02-29;null;null;26,6;
2024-03-31;null;null;26,7;
2024-04-30;null;null;26,3;
2024-05-31;null;null;22,9;
2024-06-30;null;null;23,3;
2024-07-31;null;null;21,1;
2024-08-31;null;null;23,8;
2024-09-30;null;null;27,6;
2024-10-31;null;null;null;

