Nome: PONTES E LACERDA
Codigo Estacao: A937
Latitude: -15.23444444
Longitude: -59.3461111
Altitude: 272.53
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;20;102,4;25,7;
2020-02-29;20;273,4;25;
2020-03-31;16;159,4;25,4;
2020-04-30;10;74,2;24,4;
2020-05-31;6;57,2;21,6;
2020-06-30;1;1,4;22,8;
2020-07-31;1;3,2;22,7;
2020-08-31;1;1,4;24,5;
2020-09-30;1;15;27,2;
2020-10-31;9;112,6;27,1;
2020-11-30;8;40,8;26,5;
2020-12-31;12;null;26;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;2;null;22,2;
2021-06-30;2;null;20,9;
2021-07-31;null;null;20,2;
2021-08-31;null;null;23,8;
2021-09-30;null;null;27,5;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;2;12,6;21,2;
2022-06-30;3;16,2;21;
2022-07-31;0;0;22,9;
2022-08-31;3;15,2;23;
2022-09-30;2;16;25,9;
2022-10-31;11;296;25,3;
2022-11-30;7;58,2;24,3;
2022-12-31;19;125,4;24,8;
2023-01-31;22;287,6;24,4;
2023-02-28;21;229,8;24,5;
2023-03-31;26;226,6;24,6;
2023-04-30;21;218,6;24,3;
2023-05-31;11;119,8;23,2;
2023-06-30;6;14;20,9;
2023-07-31;0;0;22,2;
2023-08-31;3;9,6;25;
2023-09-30;11;51;26,7;
2023-10-31;6;16,4;28,1;
2023-11-30;7;51,4;28,1;
2023-12-31;16;146,8;26,9;
2024-01-31;12;172,2;25,8;
2024-02-29;19;68,6;25,6;
2024-03-31;null;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

