Nome: VILHENA
Codigo Estacao: A938
Latitude: -12.73499999
Longitude: -60.15777777
Altitude: 583.3
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;27;303,4;24,6;
2020-02-29;25;466,6;24,2;
2020-03-31;25;251,4;24,6;
2020-04-30;15;156,2;25;
2020-05-31;6;73,2;23,4;
2020-06-30;5;17,4;24,4;
2020-07-31;1;,2;25,2;
2020-08-31;2;3,2;25,9;
2020-09-30;4;10,8;27,5;
2020-10-31;3;32,2;25,6;
2020-11-30;null;null;26,2;
2020-12-31;23;84,2;24,3;
2021-01-31;17;92,2;24;
2021-02-28;null;null;23,9;
2021-03-31;11;119,6;23,6;
2021-04-30;25;125,2;24;
2021-05-31;6;2,8;24,1;
2021-06-30;6;2,8;23,3;
2021-07-31;0;0;23,9;
2021-08-31;0;0;26,6;
2021-09-30;4;32,2;26,4;
2021-10-31;null;null;25,7;
2021-11-30;null;null;23,8;
2021-12-31;26;248,2;24;
2022-01-31;19;346,8;24,1;
2022-02-28;21;397;23,9;
2022-03-31;25;423;23,7;
2022-04-30;11;79,4;25;
2022-05-31;0;0;23,8;
2022-06-30;3;50;23,3;
2022-07-31;0;0;25,7;
2022-08-31;0;0;25;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;1;null;null;
2023-06-30;4;21;23,5;
2023-07-31;0;0;25,4;
2023-08-31;3;38,6;27;
2023-09-30;10;121,4;26,9;
2023-10-31;14;213,2;27,1;
2023-11-30;13;84,4;26,6;
2023-12-31;18;197,8;25,8;
2024-01-31;25;389,6;24,8;
2024-02-29;17;239,2;24,8;
2024-03-31;20;185,8;25,4;
2024-04-30;20;167,8;25,3;
2024-05-31;5;13,4;24,1;
2024-06-30;0;0;25,9;
2024-07-31;0;0;24,5;
2024-08-31;0;0;26,3;
2024-09-30;7;81,6;27,7;
2024-10-31;3;null;null;

