Nome: CACOAL
Codigo Estacao: A939
Latitude: -11.44583333
Longitude: -61.43416666
Altitude: 183.53
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;22;258,4;26,9;
2020-02-29;21;393,4;26,5;
2020-03-31;23;177;26,4;
2020-04-30;15;81,6;26,8;
2020-05-31;9;140,2;25,2;
2020-06-30;7;4,8;25,9;
2020-07-31;2;2,8;26,4;
2020-08-31;0;0;27,1;
2020-09-30;1;18,2;29,2;
2020-10-31;15;112,2;27,8;
2020-11-30;17;237;27,5;
2020-12-31;23;263;26,5;
2021-01-31;25;306,2;26,1;
2021-02-28;23;232,2;26;
2021-03-31;19;321,4;25,7;
2021-04-30;14;116,2;26,1;
2021-05-31;2;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;1;null;null;
2023-06-30;3;37,8;24,9;
2023-07-31;0;0;26,5;
2023-08-31;10;55,4;28,3;
2023-09-30;8;60;29,1;
2023-10-31;10;74,6;29,5;
2023-11-30;10;97,6;28,7;
2023-12-31;20;331,2;27,8;
2024-01-31;26;339;26,7;
2024-02-29;22;305,6;26,8;
2024-03-31;21;372,4;27,3;
2024-04-30;16;103,6;27,5;
2024-05-31;0;0;26,2;
2024-06-30;0;0;27,1;
2024-07-31;0;0;25,9;
2024-08-31;0;0;27,6;
2024-09-30;4;19,2;29,6;
2024-10-31;1;null;null;

