Nome: SERRA NOVA DOURADA
Codigo Estacao: A943
Latitude: -11.98777777
Longitude: -51.4261111
Altitude: 441
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;19;279,8;24,9;
2020-02-29;20;352,8;25,3;
2020-03-31;24;197,4;25,2;
2020-04-30;16;291;25,6;
2020-05-31;4;110;25;
2020-06-30;0;0;25,6;
2020-07-31;0;0;26,2;
2020-08-31;0;0;27,9;
2020-09-30;2;5,8;29,8;
2020-10-31;12;121,2;27,8;
2020-11-30;13;68,4;26,2;
2020-12-31;20;323;25,5;
2021-01-31;13;null;25;
2021-02-28;20;463;24,2;
2021-03-31;16;137,4;25,1;
2021-04-30;14;185;25,3;
2021-05-31;1;,2;25,9;
2021-06-30;null;null;26,4;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;0;0;28,4;
2022-09-30;null;null;null;
2022-10-31;7;143;27,9;
2022-11-30;16;null;25,2;
2022-12-31;20;null;24,2;
2023-01-31;21;null;24,1;
2023-02-28;13;null;null;
2023-03-31;7;null;null;
2023-04-30;11;154;25,6;
2023-05-31;3;70,8;26,2;
2023-06-30;2;null;null;
2023-07-31;null;null;26,9;
2023-08-31;5;60,8;28,6;
2023-09-30;4;49,4;29,7;
2023-10-31;8;109,4;28,9;
2023-11-30;11;50,2;27,8;
2023-12-31;10;null;27,3;
2024-01-31;11;null;null;
2024-02-29;null;null;null;
2024-03-31;null;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

