Nome: ROSARIO OESTE
Codigo Estacao: A944
Latitude: -14.82888888
Longitude: -56.44194444
Altitude: 195
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;13;null;27,3;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;13;null;26,5;
2021-03-31;16;199,8;25,8;
2021-04-30;7;163,8;25,1;
2021-05-31;1;10,4;23;
2021-06-30;1;,4;22,4;
2021-07-31;0;0;20,7;
2021-08-31;0;0;24,7;
2021-09-30;4;35,8;29,1;
2021-10-31;11;132,8;28,1;
2021-11-30;20;363,8;26,2;
2021-12-31;25;219,6;26,7;
2022-01-31;3;null;27,1;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;1;2,2;21,7;
2022-06-30;5;37,4;21,9;
2022-07-31;0;0;22,8;
2022-08-31;4;7,2;23,5;
2022-09-30;6;37,6;27,1;
2022-10-31;14;205,2;26,6;
2022-11-30;9;113,4;25;
2022-12-31;16;null;26,3;
2023-01-31;17;null;26,1;
2023-02-28;15;null;26,5;
2023-03-31;18;411,4;26,2;
2023-04-30;12;167,6;25,9;
2023-05-31;1;,2;24,4;
2023-06-30;4;1,8;21,2;
2023-07-31;0;0;22,8;
2023-08-31;1;2,6;26,6;
2023-09-30;7;109;28,7;
2023-10-31;9;null;29,4;
2023-11-30;11;null;29,1;
2023-12-31;13;null;28,1;
2024-01-31;12;null;27,7;
2024-02-29;7;null;27,6;
2024-03-31;17;274,6;27,3;
2024-04-30;19;267,2;27,1;
2024-05-31;2;12,2;23,7;
2024-06-30;0;0;23,1;
2024-07-31;0;0;21,5;
2024-08-31;null;0;24;
2024-09-30;1;1,2;28,4;
2024-10-31;2;null;null;

