Nome: CAMPINA DA LAGOA
Codigo Estacao: B803
Latitude: -24.57083332
Longitude: -52.80027777
Altitude: 598
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;null;null;null;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;2;null;null;
2021-11-30;11;28;24,3;
2021-12-31;5;51,8;25,7;
2022-01-31;12;157;24,8;
2022-02-28;6;94,4;25,6;
2022-03-31;16;254,4;23,5;
2022-04-30;7;null;21;
2022-05-31;2;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;6;37,4;19,1;
2023-06-30;10;76,6;16,6;
2023-07-31;9;105,2;18;
2023-08-31;6;116,6;20,2;
2023-09-30;9;117,8;23,3;
2023-10-31;14;391,6;23,3;
2023-11-30;16;247,6;23,5;
2023-12-31;12;106,8;24,6;
2024-01-31;13;273,4;24,9;
2024-02-29;12;184,6;25,3;
2024-03-31;6;104;25,1;
2024-04-30;9;95,6;23,4;
2024-05-31;7;57;20,5;
2024-06-30;1;2,2;21,2;
2024-07-31;10;117,2;17,8;
2024-08-31;4;26,6;19,9;
2024-09-30;4;121,8;24,3;
2024-10-31;null;null;null;

