Nome: COLOMBO
Codigo Estacao: B806
Latitude: -25.322464
Longitude: -49.157733
Altitude: 950
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;16;null;21,1;
2020-02-29;13;null;19,3;
2020-03-31;13;33;19;
2020-04-30;8;35,6;16,9;
2020-05-31;7;null;13,9;
2020-06-30;9;null;15,1;
2020-07-31;13;38,6;14,3;
2020-08-31;13;154,2;14;
2020-09-30;1;null;17,7;
2020-10-31;8;null;18,1;
2020-11-30;15;null;18,3;
2020-12-31;18;139,8;20;
2021-01-31;26;172,4;20,6;
2021-02-28;13;null;20,3;
2021-03-31;7;null;null;
2021-04-30;9;null;17,1;
2021-05-31;6;null;14,9;
2021-06-30;15;101;13,1;
2021-07-31;7;28;11,3;
2021-08-31;9;113,2;14,9;
2021-09-30;15;null;17;
2021-10-31;16;null;15,7;
2021-11-30;11;62,6;18,7;
2021-12-31;11;null;19,7;
2022-01-31;17;210;20,8;
2022-02-28;12;null;21,1;
2022-03-31;10;null;null;
2022-04-30;11;null;16,6;
2022-05-31;3;null;null;
2022-06-30;10;null;12,4;
2022-07-31;4;null;14,7;
2022-08-31;13;172,2;13,3;
2022-09-30;23;208,4;12,8;
2022-10-31;4;null;null;
2022-11-30;11;null;15,9;
2022-12-31;14;95,8;19,4;
2023-01-31;18;94,8;20,2;
2023-02-28;18;null;20,3;
2023-03-31;19;140;20,6;
2023-04-30;10;79,6;17,1;
2023-05-31;9;26,2;15,8;
2023-06-30;8;74;13,6;
2023-07-31;10;90,6;13,7;
2023-08-31;9;178,2;14,8;
2023-09-30;12;106,6;18,3;
2023-10-31;22;494,6;17,2;
2023-11-30;14;273,6;19,5;
2023-12-31;8;37,8;21,3;
2024-01-31;18;103,8;20,8;
2024-02-29;14;81,8;21,5;
2024-03-31;15;67,2;20,9;
2024-04-30;14;141,2;19,8;
2024-05-31;10;85,2;17,5;
2024-06-30;4;69,2;16;
2024-07-31;12;132,4;13,1;
2024-08-31;4;44,6;15,6;
2024-09-30;10;119;18,3;
2024-10-31;2;null;null;

