Nome: BELO HORIZONTE - CERCADINHO
Codigo Estacao: F501
Latitude: -19.97999999
Longitude: -43.95861111
Altitude: 1199.55
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;28;966,6;21,5;
2020-02-29;25;407;20,9;
2020-03-31;16;304,8;20;
2020-04-30;12;97;19,4;
2020-05-31;10;54,6;17;
2020-06-30;4;2,2;17,9;
2020-07-31;7;12;17,8;
2020-08-31;3;12;17;
2020-09-30;4;11,6;21,4;
2020-10-31;13;84,8;21,2;
2020-11-30;12;181,2;20,3;
2020-12-31;20;264,4;21,5;
2021-01-31;12;223,2;21,6;
2021-02-28;20;489,8;20,5;
2021-03-31;12;168,4;21,2;
2021-04-30;7;10,8;19,8;
2021-05-31;4;2,4;19,2;
2021-06-30;6;36;17,6;
2021-07-31;1;2,4;16,4;
2021-08-31;4;23,6;17,7;
2021-09-30;4;20,6;22;
2021-10-31;17;246,2;20,2;
2021-11-30;16;260,8;20;
2021-12-31;24;395,2;19,8;
2022-01-31;18;660,8;21;
2022-02-28;22;284,8;20,5;
2022-03-31;5;25;21,9;
2022-04-30;10;46;20,8;
2022-05-31;10;70;17,3;
2022-06-30;2;,6;17,6;
2022-07-31;0;0;17,4;
2022-08-31;1;,4;17,7;
2022-09-30;4;47;19,2;
2022-10-31;12;null;20,8;
2022-11-30;20;272,2;19;
2022-12-31;24;452,6;19,8;
2023-01-31;23;462,8;20,2;
2023-02-28;10;168;22;
2023-03-31;8;103,8;21,9;
2023-04-30;19;98,4;19,9;
2023-05-31;4;4;18,2;
2023-06-30;6;6,2;17,1;
2023-07-31;4;2;17,8;
2023-08-31;6;18,8;19,5;
2023-09-30;5;24,8;21,5;
2023-10-31;13;136;22,5;
2023-11-30;10;126,4;23,7;
2023-12-31;12;152,6;22,6;
2024-01-31;21;372;21,9;
2024-02-29;16;244,6;21,7;
2024-03-31;20;191,4;22,4;
2024-04-30;9;134,6;21,3;
2024-05-31;2;,6;21;
2024-06-30;2;,4;19;
2024-07-31;1;,2;18,6;
2024-08-31;3;1;19,4;
2024-09-30;1;2;22,5;
2024-10-31;null;null;null;

